Player Name,Team Name,Span,Matches,Innings,Balls Bowled,Overs,Runs,Wickets,Best Bowling in Innings,Maidens,Bowling Average,Economy Rate,Strike Rate,4,5
Mohammed Shami,GT,2023,17,17,390,65.0,522,28,4/11,2,18.64,8.03,13.92,2,0
MM Sharma,GT,2023,14,14,265,44.1,361,27,5/10,0,13.37,8.17,9.81,2,1
Rashid Khan,GT,2023,17,17,402,67.0,552,27,4/30,0,20.44,8.23,14.88,1,0
PP Chawla,MI,2023,16,16,366,61.0,495,22,3/22,0,22.5,8.11,16.63,0,0
YS Chahal,RR,2023,14,14,317,52.5,432,21,4/17,0,20.57,8.17,15.09,3,0
TU Deshpande,CSK,2023,16,16,341,56.5,564,21,3/45,0,26.85,9.92,16.23,0,0
CV Varun,KKR,2023,14,14,316,52.4,429,20,4/15,1,21.45,8.14,15.8,1,0
RA Jadeja,CSK,2023,16,16,342,57.0,431,20,3/20,0,21.55,7.56,17.1,0,0
M Pathirana,CSK,2023,12,12,278,46.2,371,19,3/15,0,19.52,8.0,14.63,0,0
Mohammed Siraj,RCB,2023,14,14,300,50.0,375,19,4/21,0,19.73,7.5,15.78,1,0
Arshdeep Singh,PBKS,2023,14,14,305,50.5,493,17,4/29,0,29.0,9.69,17.94,1,0
Noor Ahmad,GT,2023,13,13,283,47.1,369,16,3/37,0,23.06,7.82,17.68,0,0
Ravi Bishnoi,LSG,2023,15,14,303,50.3,391,16,3/28,0,24.43,7.74,18.93,0,0
B Kumar,SRH,2023,14,14,306,51.0,425,16,5/30,1,26.56,8.33,19.12,0,1
A Madhwal,MI,2023,8,8,153,25.3,219,14,5/5,0,15.64,8.58,10.92,1,1
R Ashwin,RR,2023,13,13,294,49.0,368,14,2/23,0,26.28,7.51,21.0,0,0
JP Behrendorff,MI,2023,12,12,252,42.0,387,14,3/23,0,27.64,9.21,18.0,0,0
HV Patel,RCB,2023,14,13,282,47.0,454,14,3/32,0,32.42,9.65,20.14,0,0
Yash Thakur,LSG,2023,9,9,191,31.5,289,13,4/37,0,22.23,9.07,14.69,1,0
DL Chahar,CSK,2023,10,10,204,34.0,297,13,3/22,0,22.84,8.73,15.69,0,0
TA Boult,RR,2023,10,10,228,38.0,312,13,3/29,3,24.0,8.21,17.53,0,0
NT Ellis,PBKS,2023,10,10,228,38.0,339,13,4/30,0,26.07,8.92,17.53,1,0
